City,Country,place_id,Latitude,Longitude
Niamey, Niger,67142537,13.524834,2.109823
Nicosia, Κύπρος - Kıbrıs,220708654,35.1746503,33.3638783
Nouakchott, Mauritanie موريتانيا,290367362,18.061891799999998,-15.931148157832908
NoumĂ©a, Cameroun,65571934,3.9596957,11.4283099
Nuku'alofa, Tonga,32765841,-21.1343401,-175.201808
Oslo, Norge,175738931,59.9133301,10.7389701
Ottawa, Canada,21971209,45.4208777,-75.6901106
Ouagadougou, Burkina Faso,292358296,12.3681873,-1.5270944
Panama City, United States,293181655,30.1586518,-85.6602936
Papua New Guinea,Papua Niugini,55707047,-5.6816069,144.2489081
Paramaribo, Suriname,290340753,5.8241764499999995,-55.16628130970069
Paris, France,114827617,48.8534951,2.3483915
Phnom Penh, ព្រះរាជាណាចក្រ​កម្ពុជា,369792604,11.5730391,104.857807
Podgorica, Crna Gora / Црна Гора,81421443,42.4415238,19.2621081
Port Louis, Mauritius / Maurice,62381657,-20.1624522,57.5028044
Port Moresby, Papua Niugini,55439522,-9.4743301,147.1599504
Port of Spain, Trinidad and Tobago,290767744,10.6572678,-61.5180173
Port-au-Prince, Ayiti,297308827,18.547327,-72.3395928
Porto-Novo, Bénin,66526560,6.4990718,2.6253361
Prague, Česko,147696681,50.0596288,14.446459273258009
Praia, Cabo Verde,290473966,14.9162811,-23.5095095
Pretoria, South Africa,60877572,-25.7459277,28.1879101
Pyongyang, 조선민주주의인민공화국,227721495,39.0167979,125.7473609
Quito, Ecuador,35320567,-0.2201641,-78.5123274
Rabat, Maroc ⵍⵎⵖⵔⵉⴱ المغرب,287515787,34.02236,-6.8340222
Reykjavik, Ísland,267344753,64.145981,-21.9422367
Riga, Latvija,183040594,56.9493977,24.1051846
Riyadh, السعودية,71959019,24.638916,46.7160104
Rome, Italia,100455404,41.8933203,12.4829321
Roseau, United States,29478678,48.7710371,-95.7697882
Saint George's, Grenada,290630242,12.0535331,-61.751805
Saint John's, Antigua and Barbuda,290697361,17.1184569,-61.8448509
San JosĂ©, España,283747966,41.7375216,-5.3611911
San Marino,San Marino,99607995,43.9458623,12.458306
San Salvador, El Salvador,301232238,13.6989939,-89.1914249
Sana'a, اليمن,69127794,15.35,44.2
Santiago, Costa Rica,298896756,9.8694792,-83.7980749
Santo Domingo, República Dominicana,300409061,18.4801972,-69.942111
Sarajevo, Bosna i Hercegovina / Босна и Херцеговина,81248619,43.8519774,18.3866868
Seoul, 대한민국,227845011,37.5666791,126.9782914
Singapore,Singapore,251401744,1.357107,103.8194992
Skopje, Северна Македонија,82474325,41.9961816,21.4319213
Sofia, Madagasikara / Madagascar,63823932,-15.2538402,48.2562163
Sri Jayawardenepura Kotte, ශ්‍රී ලංකාව இலங்கை,250384939,6.8883219,79.9187415
St. Kitts and Nevis,Saint Kitts and Nevis,290810753,17.250512,-62.6725973
St. Lucia,Saint Lucia,290814933,13.8250489,-60.975036
St. Vincent and the Grenadines,Saint Vincent and the Grenadines,291389541,12.90447,-61.2765569
Stockholm, Sverige,179148668,59.3251172,18.0710935
Suva, Viti,54821957,-18.1415884,178.4421662
Taipei, 臺灣,233235344,25.0375198,121.5636796
Tallinn, Eesti,182615978,59.4372155,24.7453688
Tashkent, Oʻzbekiston,221991999,41.3123363,69.2787079
Tbilisi, საქართველო,215097578,41.6934591,44.8014495
Tegucigalpa, Honduras,300739943,14.1057433,-87.2040052
Tehran, ایران,219477927,35.6892523,51.3896004
Thimphu, འབྲུགཡུལ་,240878573,27.4781469,89.62627973726109
Tirana, Shqipëria,80998925,41.3281482,19.8184435
Tokyo, 日本,257202331,35.6840574,139.7744912
Tripoli, ليبيا,79041261,32.896672,13.1777923
Tunis, تونس,77824111,36.8002068,10.1857757
Ulaanbaatar, Монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ,225649333,47.94093275,106.91795035225584
Vaduz, Liechtenstein,93454036,47.1392862,9.5227962
Valletta, Malta,78876818,35.8989818,14.5136759
Vatican City,Civitas Vaticana - Città del Vaticano,101925260,41.903411,12.4528527
Victoria, Australia,50386506,-36.5986096,144.6780052
Vienna, Österreich,197902925,48.2083537,16.3725042
Vientiane, ປະເທດລາວ,239354420,17.9640988,102.6133707
Vilnius, Lietuva,185631530,54.6870458,25.2829111
Warsaw, Polska,370172190,52.2319581,21.0067249
"Washington, D.C.", United States,4278528,38.8950368,-77.0365427
Wellington, New Zealand / Aotearoa,52171228,-41.2887953,174.7772114
Windhoek, Namibia,60574032,-22.5776104,17.0772739
Yerevan, Հայաստան,215593360,40.1777112,44.5126233
Zagreb, Hrvatska,86638199,45.8130967,15.9772795
